1/2,1 HALF
1/2,AND 1 HALF
10TH,10 TH
10TH,TENTH
11TH,11 TH
11TH,11 TH
11TH,ELEVENTH
11TH,ELEVENTH
12TH,12 TH
12TH,TWELFTH,
12TH,TWELVETH
13TH,13 TH
13TH,THIRTEENTH
14TH,14 TH
14TH,FOURTEENTH
15TH,15 TH
15TH,FIFTEENTH
16TH,16 TH
16TH,SIXTEENTH
17TH,17 TH
17TH,SEVENTEENTH
18TH,18 TH
18TH,EIGHTEENTH
19TH,19 TH
19TH,NINETEENTH
1ST,01ST
1ST,FIRST
20TH,20 TH
20TH,TWENTIETH
21ST,TWENTY FIRST
22ND,22 ND
22ND,TWENTY SECOND
23RD,23 RD
23RD,TWENTY THIRD
24TH,24 TH
24TH,TWENTY FOURTH
25TH,25 TH
25TH,TWENTY FIFTH
26TH,26 TH
26TH,TWENTY SIXTH
27TH,27 TH
27TH,TWENTY SEVENTH
28TH,28 TH
28TH,TWENTY EIGHTH
29TH,29 TH
29TH,TWENTY NINETH
2ND,02ND
2ND,2 ND
2ND,SECOND
30TH,30 TH
32ND,32 ND
33RD,33 RD
34TH,34 TH
35TH,35 TH
36TH,36 TH
37TH,37 TH
38TH,38 TH
39TH,39 TH
3RD,03RD
3RD,3 RD
3RD,THIRD
40TH,40 TH
42ND,42 ND
43RD,43 RD
44TH,44 TH
45TH,45 TH
46TH,46 TH
47TH,47 TH
48TH,48 TH
49TH,49 TH
4TH,04TH
4TH,4 TH
4TH,FOURTH
50TH,50 TH
50TH,FIFTYTH
52ND,52 ND
53RD,53 RD
54TH,54 TH
55TH,55 TH
56TH,56 TH
57TH,57 TH
58TH,58 TH
59TH,59 TH
5TH,05TH
5TH,5 TH
5TH,FIFTH
60TH,60 TH
62ND,62 ND
63RD,63 RD
64TH,64 TH
65TH,65 TH
66TH,66 TH
67TH,67 TH
68TH,68 TH
69TH,69 TH
6TH,06TH
6TH,6 TH
6TH,SIXTH
7TH,07TH
7TH,7 TH
7TH,SEVENTH
8TH,08TH
8TH,8 TH
8TH,EIGHTH
9TH,09TH
9TH,9 TH
9TH,NINETH
9TH,NINTH
ACADEMY,ACAD
ACADEMY,ACADEM
ACADEMY,ACDMY
ACCESS,ACC
ACCESS,ACCSS
ADDITION,ADD
ADDITION,ADDN
ADDRRESS,ADDR
ADJACENT,ADJ
ADJACENT,ADJAC
AGENCY,AGCY
AGENCY,AGENC
AGENCY,AGNCY
AGRICULTURE,AGRCLT
AGUSTA,AUGUSTA
AIRCRAFT,AIRCRFT
AIRCRAFT,ARCRFT
AIRLINE,ARLN
AIRPORT,AIRP
AIRPORT,AIRPO
AIRPORT,AIRPOR
AIRPORT,AIRPRT
AIRPORT,AIRPT
AIRPORT,ARPRT
AIRPORT,ARPT
AIRWAY,ARWY
ALBANS,ALBAN
ALEXANDRA,ALEXANDRIA
ALLEGHENY,ALLEGHENEY
ALLEY,ALLEE
ALLEY,ALLY
ALLEY,ALY
ALTERNATE,ALT
AMBULANCE,AMBL
AMERICA,AMER
AMERICAN,AMERCN
AMUSEMENT,AMUS
ANIMAL,ANML
ANNEX,ANEX
ANNEX,ANNX
ANNEX,ANX
APARTMENT,APART
APARTMENT,APRTMNT
APARTMENT,APT
APARTMENT,APTMNT
APARTMENTS,APTS
APPROXIMATELY,APPROX
APPROXIMATELY,APPX
APPROXIMATELY,APROX
ARCADE,ARC
ARENDELL,ARENDEL
ARMORY,ARMRY
ARSENAL,ARSNL
ASSOCIATION,ASSCO
ASSOCIATION,ASSN
ASSOCIATION,ASSOC
ATLANTIC,ATLNTC
AUDITORIUM,ADTRM
AVENUE OF THE REPUBLIC,AVE OF THE REP
AVENUE OF THE REPUBLIC,AVE OF THE REPUBLIC
AVENUE OF THE REPUBLIC,AVENUE OF THE REP
AVENUE,AV
AVENUE,AVE
AVENUE,AVEN
AVENUE,AVENE
AVENUE,AVENU
AVENUE,AVN
AVENUE,AVNUE
AVENUES,AVES
AYRDALE CRESCENT,AYRDALE CRES
AYRDALE CRESCENT,AYRDALECRES
AYRDALE CRESCENT,AYRDALECRESCENT
BALLROOM,BLLRM
BASEMENT,BSMT
BAYOU,BAYOO
BAYOU,BYU
BEACH,BCH
BELLMORE,BELMORE
BELTWAY,BLTW
BENJAMIN FRANKLIN,B FRANKLIN
BENJAMIN FRANKLIN,BEN FRANKLIN
BENJAMIN FRANKLIN,BENJ FRANKLIN
BERKS,BERK
BETHLEHEM,BTHL
BETWEEN,BETW
BETWEEN,BETWN
BETWEEN,BTW
BETWEEN,BTWN
BIRMINGHAM,BHAM
BLOCK OF,BL OF
BLOCK,BLCK
BLOCK,BLK
BLOCK,BLO
BLOCKS,BLCKS
BLOCKS,BLKS
BLUE GRASS,BLUEGRASS
BLUFF,BLF
BLUFF,BLUF
BLUFFS,BLFS
BONNAFFON,BONAFFON
BONNAFFON,BONAFON
BONNAFFON,BONNAFON
BOTTOM,BOT
BOTTOM,BOTTM
BOTTOM,BTM
BOULEVARD,BLD
BOULEVARD,BLV
BOULEVARD,BLVD
BOULEVARD,BOUL
BOULEVARD,BOULIVARD
BOULEVARD,BOULV
BOULEVARD,BULLEVARD
BOULEVARD,BULLIVARD
BOULEVARD,BVD
BOULEVARD,BVLD
BOULEVARDS,BLVDS
BOUNDARY,BNDRY
